>CCDC6_ENST00000263102.6,chr10:61548521-61666414
4,65032465,65032759
5,65026818,65026937
6,65025671,65025838
7,65022060,65022247
8,65015951,65016204
9,65006807,65006943
10,65005834,65005967
11,65005482,65005599
12,64984670,64984921
13,64977656,64982002

>THRAP3_ENST00000354618.5,chr1:36690017-36770958
1,36690017,36690106
2,36724983,36725085
3,36748134,36748301
4,36751969,36752871
5,36754661,36755365
6,36756975,36757147
7,36758199,36758310
8,36759452,36759536
9,36762184,36762371
10,36766487,36766685
11,36767154,36767297
12,36769397,36770958

>CNBP_ENST00000422453.2,chr3:128888327-128902765
1,128902619,128902765
2,128890477,128890614
3,128890289,128890381
4,128889922,128890120
5,128888327,128889413

>OMD_ENST00000375550.4,chr9:95176527-95186743
1,95186484,95186743
2,95178901,95179856
3,95176527,95177759

>YY1_ENST00000262238.4,chr14:100704635-100749129
1,100705322,100706260
2,100728641,100728803
3,100741035,100741095
4,100742827,100742985
5,100743755,100749129

>NFATC1_ENST00000253506.5,chr18:77155856-77289325
1,77155856,77156351
2,77170403,77171501
3,77193579,77193738
4,77208782,77208984
5,77210954,77211126
6,77211676,77211816
7,77221311,77221366
8,77227450,77227582
9,77246248,77246630
10,77287528,77289325

>STRN_ENST00000263918.4,chr2:37070783-37193615
1,37193373,37193615
2,37152248,37152351
3,37143221,37143294
4,37132683,37132761
5,37129727,37129894
6,37126666,37126801
7,37121041,37121176
8,37113859,37113969
9,37111075,37111218
10,37105034,37105170
11,37096697,37096872
12,37094957,37095004
13,37088275,37088396
14,37084999,37085166
15,37082355,37082495
16,37078143,37078250
17,37076857,37076943
18,37070783,37076768

>IRF2BP2_ENST00000366610.3,chr1:234740015-234745271
1,234744241,234745271
2,234740015,234743598

>GNAI1_ENST00000351004.3,chr7:79763271-79848718
1,79764104,79764594
2,79818267,79818309
3,79818406,79818547
4,79828541,79828698
5,79833020,79833148
6,79840285,79840414
7,79842032,79842185
8,79846619,79848718

>MKRN1_ENST00000255977.2,chr7:140152840-140179369
1,140178960,140179369
2,140171683,140171811
3,140159507,140159736
4,140158807,140159033
5,140156452,140156666
6,140155590,140155700
7,140154895,140155033
8,140152840,140154529

>QKI_ENST00000361752.3,chr6:163835032-163999628
1,163835675,163836367
2,163876311,163876453
3,163899812,163899928
4,163956014,163956157
5,163983014,163983101
6,163984452,163984751
7,163987753,163987827
8,163991726,163999628

>RNF130_ENST00000521389.1,chr5:179338651-179499118
1,179498456,179499118
2,179467453,179467647
3,179440061,179440311
4,179407129,179407200
5,179405203,179405285
6,179397410,179397506
7,179393806,179394010
8,179390471,179390564
9,179382067,179382669

>NACC2_ENST00000371753.1,chr9:138898383-138987131
1,138941482,138942426
2,138908111,138908275
3,138905710,138905815
4,138905045,138905142
5,138898383,138903870

>CLCN6_ENST00000346436.6,chr1:11866207-11903201
1,11866268,11866406
2,11867188,11867247
3,11875903,11875968
4,11876672,11876737
5,11879545,11879611
6,11882752,11882858
7,11883764,11883890
8,11884543,11884610
9,11886213,11886271
10,11887146,11887278
11,11888163,11888276
12,11888515,11888681
13,11889253,11889379
14,11893572,11893695
15,11893934,11894087
16,11894293,11894452
17,11894541,11894647
18,11896024,11896210
19,11897056,11897213
20,11897400,11897556
21,11898392,11898499
22,11898592,11898717
23,11900200,11903201

>MEAF6_ENST00000296214.5,chr1:37958176-37980375
1,37980258,37980375
2,37979024,37979139
3,37975056,37975143
4,37974879,37974924
5,37967405,37967597
6,37961486,37961519
7,37958779,37959708

>EPC1_ENST00000375110.2,chr10:32556679-32667726
1,32667419,32667726
2,32594700,32594859
3,32582520,32582665
4,32581916,32582122
5,32581424,32581572
6,32580091,32580250
7,32576026,32576202
8,32575854,32575943
9,32575622,32575770
10,32573626,32573978
11,32562091,32562209
12,32560954,32561095
13,32560482,32560845
14,32556679,32558063

>MBTD1_ENST00000586178.1,chr17:49254786-49337524
1,49337196,49337427
2,49336504,49336567
3,49302369,49302570
4,49297691,49297824
5,49296291,49296405
6,49294695,49294777
7,49284249,49284366
8,49281152,49281286
9,49280501,49280589
10,49280062,49280296
11,49279383,49279438
12,49278953,49279057
13,49272575,49272722
14,49270789,49270871
15,49270143,49270377
16,49269564,49269641
17,49254786,49258055

>ZC3H7B_ENST00000352645.4,chr22:41697526-41756151
1,41697526,41697776
2,41716659,41716717
3,41721568,41721601
4,41721725,41721922
5,41723210,41723368
6,41726027,41726107
7,41728175,41728231
8,41734317,41734359
9,41735005,41735195
10,41735820,41736141
11,41737092,41737150
12,41738533,41738632
13,41739419,41739580
14,41742007,41742212
15,41744071,41744171
16,41745124,41745305
17,41747565,41747650
18,41751473,41751606
19,41751761,41751866
20,41751958,41752066
21,41752347,41752480
22,41752649,41752812
23,41753181,41756151

>TCF3_ENST00000262965.5,chr19:1609291-1652604
1,1652299,1652604
2,1650176,1650286
3,1646354,1646426
4,1632331,1632404
5,1632037,1632115
6,1627358,1627425
7,1625575,1625707
8,1623950,1623999
9,1622312,1622414
10,1622053,1622222
11,1621837,1621969
12,1621132,1621190
13,1620967,1621045
14,1619779,1619852
15,1619315,1619473
16,1619110,1619233
17,1615685,1615820
18,1615284,1615519
19,1609293,1611848

>RET_ENST00000355710.3,chr10:43572475-43625799
1,43572475,43572779
2,43595907,43596170
3,43597790,43598077
4,43600400,43600641
5,43601824,43602019
6,43604479,43604678
7,43606655,43606913
8,43607547,43607672
9,43608301,43608411
10,43609004,43609123
11,43609928,43610184
12,43612032,43612179
13,43613821,43613928
14,43614979,43615193
15,43615529,43615651
16,43617394,43617464
17,43619119,43619256
18,43620331,43620430
19,43622023,43622170
20,43623560,43625799

>GOLGA5_ENST00000163416.2,chr14:93260576-93306308
1,93260576,93260801
2,93263753,93264326
3,93273081,93273308
4,93275645,93275864
5,93276599,93276722
6,93277896,93278099
7,93282596,93282766
8,93286053,93286181
9,93290891,93290989
10,93299467,93299692
11,93301904,93302009
12,93303731,93303794
13,93305711,93306308

>ERC1_ENST00000543086.3,chr12:1099675-1605099
1,1100374,1100488
2,1136914,1137738
3,1192330,1192746
4,1213916,1213990
5,1219358,1219513
6,1225032,1225199
7,1250786,1250953
8,1289706,1289843
9,1291091,1291231
10,1292447,1292587
11,1299025,1299218
12,1345935,1346070
13,1372200,1372331
14,1399018,1399178
15,1480999,1481143
16,1517315,1517413
17,1553728,1553916
18,1599259,1605099

>HOOK3_ENST00000307602.4,chr8:42752075-42885682
1,42752075,42752331
2,42761316,42761401
3,42780700,42780772
4,42785265,42785315
5,42798456,42798588
6,42805531,42805598
7,42812237,42812299
8,42814374,42814457
9,42819454,42819617
10,42821616,42821756
11,42823156,42823357
12,42828432,42828542
13,42829250,42829337
14,42837770,42837839
15,42841798,42841938
16,42852693,42852780
17,42857250,42857284
18,42862990,42863072
19,42865448,42865548
20,42868194,42868298
21,42868472,42868543
22,42873501,42885682

>PRKAR1A_ENST00000589228.1,chr17:66507921-66547460
1,66508568,66508689
2,66511535,66511717
3,66518897,66519067
4,66519866,66519957
5,66520157,66520218
6,66521053,66521099
7,66521895,66522053
8,66523981,66524041
9,66525011,66525132
10,66526061,66526142
11,66526418,66529572

>TRIM27_ENST00000377199.3,chr6:28870779-28891766
1,28890990,28891766
2,28889669,28889764
3,28887789,28888019
4,28879473,28879495
5,28876750,28876865
6,28876585,28876617
7,28875013,28875039
8,28870779,28872442

>TRIM24_ENST00000343526.4,chr7:138145079-138274738
1,138145079,138145657
2,138189035,138189153
3,138199957,138200104
4,138203934,138204066
5,138209986,138210102
6,138213861,138213975
7,138223402,138223548
8,138235808,138235925
9,138239443,138239711
10,138252226,138252399
11,138255575,138255748
12,138258252,138258387
13,138261118,138261190
14,138262165,138262333
15,138263949,138264277
16,138265307,138265439
17,138266442,138266516
18,138268595,138268744
19,138269487,138274738

>TRIM33_ENST00000358465.2,chr1:114935399-115053781
1,115053172,115053781
2,115006892,115007010
3,115006034,115006178
4,115005726,115005858
5,114976239,114976355
6,114973420,114973534
7,114970370,114970516
8,114969799,114969916
9,114968071,114968345
10,114967213,114967377
11,114964058,114964258
12,114952806,114952938
13,114951299,114951362
14,114949563,114949722
15,114948032,114948381
16,114945382,114945505
17,114944011,114944085
18,114942079,114942231
19,114940562,114940612
20,114935399,114940482

>NAB2_ENST00000300131.3,chr12:57482677-57489259
1,57482677,57483137
2,57484908,57485781
3,57486231,57486364
4,57486700,57486751
5,57486846,57486978
6,57487190,57487381
7,57488395,57489259

>STAT6_ENST00000300134.3,chr12:57489191-57525922
1,57504912,57505216
2,57501946,57502082
3,57501388,57501526
4,57501014,57501097
5,57500476,57500614
6,57500311,57500363
7,57499974,57500122
8,57499251,57499382
9,57498934,57499122
10,57498509,57498596
11,57498247,57498369
12,57496612,57496704
13,57496073,57496279
14,57493779,57493873
15,57493550,57493686
16,57493077,57493223
17,57492798,57492861
18,57492575,57492685
19,57492288,57492380
20,57490851,57490916
21,57490633,57490761
22,57489191,57490544

>HIP1_ENST00000336926.6,chr7:75162621-75368280
1,75368119,75368265
2,75228502,75228565
3,75221690,75221832
4,75221374,75221430
5,75216071,75216151
6,75211391,75211467
7,75210553,75210614
8,75203066,75203206
9,75197503,75197560
10,75192492,75192567
11,75192239,75192379
12,75191377,75191474
13,75190633,75190705
14,75189036,75189219
15,75187471,75187559
16,75186958,75187074
17,75186014,75186115
18,75185330,75185473
19,75184720,75184855
20,75183739,75183825
21,75183412,75183519
22,75182752,75182888
23,75178189,75178299
24,75177053,75177111
25,75176237,75176330
26,75174386,75174486
27,75173993,75174098
28,75172170,75172293
29,75171238,75171299
30,75168643,75168751
31,75162621,75167545

>DCTN1_ENST00000361874.3,chr2:74588281-74619214
1,74607132,74607482
2,74605127,74605372
3,74604775,74604853
4,74604559,74604593
5,74603869,74603889
6,74601450,74601467
7,74600055,74600075
8,74598664,74598855
9,74598106,74598303
10,74597748,74597952
11,74597593,74597671
12,74597313,74597472
13,74597092,74597196
14,74596427,74596618
15,74596225,74596341
16,74595855,74596007
17,74595098,74595258
18,74594823,74594991
19,74594479,74594547
20,74594172,74594234
21,74593910,74594059
22,74593586,74593747
23,74593371,74593502
24,74593020,74593145
25,74592642,74592784
26,74592202,74592368
27,74590741,74590755
28,74590421,74590554
29,74590121,74590304
30,74589777,74589856
31,74589179,74589268
32,74588281,74588763

>CLIP1_ENST00000302528.7,chr12:122755979-122907179
1,122864915,122865107
2,122861936,122862507
3,122848530,122848654
4,122845506,122845728
5,122839662,122839859
6,122839000,122839103
7,122837273,122837333
8,122831922,122832026
9,122825300,122826244
10,122821179,122821295
11,122819195,122819252
12,122818574,122818657
13,122817534,122817690
14,122812808,122812973
15,122812494,122812709
16,122803779,122803895
17,122801296,122801402
18,122794309,122794429
19,122773036,122773088
20,122763575,122763692
21,122763339,122763489
22,122762701,122762750
23,122758585,122758709
24,122755981,122757647

>ZCCHC8_ENST00000336229.4,chr12:122957417-122985518
1,122985187,122985518
2,122983374,122983414
3,122977262,122977336
4,122975009,122975114
5,122973933,122974010
6,122968007,122968110
7,122967826,122967891
8,122967182,122967242
9,122966492,122966634
10,122966069,122966211
11,122964737,122964858
12,122962753,122962839
13,122962388,122962505
14,122957437,122958822

>MYO5A_ENST00000399231.3,chr15:52599480-52821247
1,52820977,52821247
2,52725372,52725482
3,52720595,52720766
4,52718027,52718171
5,52708342,52708498
6,52702530,52702673
7,52700256,52700337
8,52699489,52699596
9,52697484,52697590
10,52689398,52689663
11,52688513,52688594
12,52684127,52684267
13,52681435,52681560
14,52680026,52680109
15,52676358,52676519
16,52675288,52675385
17,52672019,52672105
18,52671822,52671930
19,52668544,52668755
20,52667501,52667657
21,52664321,52664560
22,52662366,52662614
23,52659228,52659321
24,52656751,52656899
25,52652165,52652278
26,52646068,52646211
27,52645802,52645855
28,52643451,52643678
29,52641015,52641023
30,52638558,52638658
31,52635314,52635394
32,52632393,52632591
33,52628660,52628753
34,52622550,52622696
35,52620049,52620203
36,52615552,52615641
37,52613556,52613706
38,52611257,52611539
39,52609245,52609419
40,52606320,52606400
41,52599480,52606045

>PWWP2A_ENST00000456329.3,chr5:159488808-159546430
1,159545812,159546430
2,159520108,159521072
3,159507658,159507777
4,159502889,159505175

>KIAA1598_ENST00000260777.10,chr10:118643742-118886097
1,118764533,118764876
2,118738767,118738819
3,118728163,118728223
4,118719647,118719741
5,118713553,118713721
6,118711420,118711517
7,118708427,118708508
8,118704435,118704529
9,118699977,118700123
10,118689360,118689513
11,118687303,118687402
12,118680945,118681027
13,118674886,118674995
14,118671301,118671354
15,118644308,118646077

>TP53_ENST00000269305.4,chr17:7565097-7590856
1,7590695,7590856
2,7579839,7579940
3,7579700,7579721
4,7579312,7579590
5,7578371,7578554
6,7578177,7578289
7,7577499,7577608
8,7577019,7577155
9,7576853,7576926
10,7573927,7574033
11,7571720,7573008

>LMNA_ENST00000368300.4,chr1:156052364-156109880
1,156084498,156085065
2,156100408,156100564
3,156104194,156104319
4,156104596,156104766
5,156104978,156105103
6,156105692,156105912
7,156106005,156106227
8,156106712,156106819
9,156106904,156107023
10,156107445,156107534
11,156108279,156108548
12,156108871,156109880

>CEP89_ENST00000305768.5,chr19:33369902-33462897
1,33462742,33462869
2,33457266,33457372
3,33450806,33450964
4,33444521,33444707
5,33439172,33439274
6,33430763,33430791
7,33428537,33428579
8,33424357,33424575
9,33422335,33422477
10,33417840,33417890
11,33417096,33417179
12,33414345,33414448
13,33409130,33409245
14,33406243,33406423
15,33392151,33392318
16,33390763,33390904
17,33378658,33378747
18,33372750,33372919
19,33369902,33370284

>LSM14A_ENST00000544216.3,chr19:34663409-34720420
1,34663471,34663668
2,34685383,34685546
3,34687539,34687668
4,34699834,34699956
5,34706029,34706205
6,34706501,34706566
7,34710296,34710478
8,34710611,34710782
9,34712412,34712643
10,34718270,34720420

>CDKN2D_ENST00000393599.2,chr19:10677138-10679735
1,10679189,10679654
2,10677138,10678093

>SND1_ENST00000354725.3,chr7:127292234-127732661
1,127292234,127292505
2,127326667,127326816
3,127334882,127335002
4,127338929,127339007
5,127341217,127341377
6,127342489,127342580
7,127343219,127343377
8,127344893,127344999
9,127347611,127347701
10,127361341,127361454
11,127447538,127447627
12,127484377,127484477
13,127527955,127528065
14,127544800,127544872
15,127569241,127569382
16,127631000,127631109
17,127714554,127714742
18,127721412,127721553
19,127724776,127724899
20,127725763,127725832
21,127726990,127727103
22,127729541,127729744
23,127731889,127731933
24,127732045,127732659

>GATM_ENST00000396659.3,chr15:45653322-45694525
1,45670583,45670991
2,45668799,45669017
3,45661524,45661719
4,45660268,45660458
5,45658569,45658706
6,45658244,45658408
7,45656995,45657058
8,45656098,45656214
9,45653322,45654419

>HERPUD1_ENST00000439977.2,chr16:56965960-56977798
1,56965960,56966303
2,56969147,56969224
3,56969313,56969387
4,56970599,56970729
5,56973149,56973271
6,56973807,56974157
7,56976044,56976149
8,56977038,56977793

>ZSCAN30_ENST00000420878.3,chr18:32831032-32870196
1,32870048,32870196
2,32847440,32847643
3,32843909,32844419
4,32843477,32843621
5,32831032,32834345

>HACL1_ENST00000321169.5,chr3:15602211-15643338
1,15642890,15643338
2,15642597,15642701
3,15637891,15637931
4,15633107,15633187
5,15631047,15631119
6,15628032,15628109
7,15626755,15626849
8,15624384,15624496
9,15621417,15621552
10,15616484,15616589
11,15614666,15614749
12,15613175,15613276
13,15609939,15610093
14,15609351,15609509
15,15606058,15606165
16,15604865,15605051
17,15602211,15602404

>DNAJB1_ENST00000254322.2,chr19:14625582-14640582
1,14628951,14629232
2,14627278,14627858
3,14625582,14626982

>DAB2IP_ENST00000394340.3,chr9:124329336-124547809
1,124329336,124329507
2,124440957,124441060
3,124461604,124461737
4,124519292,124519445
5,124521177,124521275
6,124522164,124522506

>ABI1_ENST00000376138.3,chr10:27035522-27150016
1,27149676,27149959
2,27112067,27112234
3,27065994,27066170
4,27060004,27060018
5,27059174,27059274
6,27057781,27057921
7,27054147,27054247
8,27047991,27048167
9,27040527,27040712
10,27035522,27037674

>CREBBP_ENST00000262367.5,chr16:3775055-3930727
1,3929833,3930727
2,3900298,3901010
3,3860604,3860780
4,3843387,3843627
5,3841982,3842095
6,3832685,3832927
7,3831205,3831307
8,3830733,3830879
9,3828701,3828818
10,3828012,3828183
11,3827614,3827658
12,3824570,3824694
13,3823752,3823931
14,3820571,3820987
15,3819175,3819354
16,3817721,3817910
17,3808855,3808973
18,3807810,3808049
19,3807289,3807377
20,3801727,3801807
21,3799628,3799684
22,3795278,3795355
23,3794895,3794962
24,3790400,3790550
25,3789579,3789725
26,3788560,3788673
27,3786651,3786816
28,3786037,3786204
29,3781777,3781938
30,3781193,3781474
31,3775055,3779875

>LASP1_ENST00000318008.6,chr17:37026112-37078023
1,37026112,37026511
2,37034339,37034433
3,37046673,37046757
4,37054665,37054772
5,37070578,37070728
6,37071296,37071399
7,37074858,37078023

>TOP3A_ENST00000321105.5,chr17:18174742-18218321
1,18217913,18218307
2,18212196,18212255
3,18211665,18211738
4,18210205,18210280
5,18208426,18208534
6,18205894,18206037
7,18205578,18205748
8,18205199,18205299
9,18202873,18202947
10,18198017,18198099
11,18195959,18196166
12,18194156,18194341
13,18193871,18194000
14,18188721,18188834
15,18188456,18188621
16,18186012,18186155
17,18183850,18183972
18,18180989,18181671
19,18177281,18178294

>GAS7_ENST00000585266.1,chr17:9813926-10101868
1,9939751,9940064
2,9923094,9923214
3,9885121,9885201
4,9872994,9873079
5,9862519,9862572
6,9850211,9850300
7,9846438,9846553
8,9843443,9843517
9,9837483,9837561
10,9829958,9830086
11,9828793,9828916
12,9822943,9823022
13,9821318,9821416
14,9818572,9820658

>TET1_ENST00000373644.4,chr10:70320413-70454239
1,70320413,70320499
2,70331974,70334009
3,70360738,70360791
4,70404455,70406762
5,70411603,70411693
6,70412258,70412351
7,70426802,70427013
8,70432652,70432802
9,70441156,70441245
10,70442593,70442730
11,70446113,70446464
12,70450565,70454239

>MAPRE1_ENST00000375571.5,chr20:31407699-31438211
1,31407699,31407834
2,31413731,31413854
3,31421523,31421668
4,31424440,31424647
5,31427541,31427662
6,31434424,31434576
7,31436478,31438211

>AFF1_ENST00000307808.6,chr4:87856154-88062206
1,87928140,87928576
2,87967318,87967438
3,87967847,87968746
4,88005272,88005316
5,88011136,88011222
6,88012945,88012981
7,88016067,88016121
8,88026780,88026834
9,88026960,88026997
10,88029311,88029467
11,88035519,88036451
12,88046189,88046295
13,88047251,88047488
14,88048178,88048269
15,88048795,88048855
16,88052235,88052371
17,88052945,88053016
18,88053423,88053560
19,88055626,88055846
20,88056732,88062190

>FRYL_ENST00000358350.4,chr4:48499378-48782339
1,48782095,48782316
2,48712536,48712715
3,48686690,48686812
4,48636308,48636507
5,48625143,48625196
6,48622656,48622795
7,48621291,48621387
8,48611761,48611840
9,48611004,48611084
10,48608455,48608623
11,48607758,48607850
12,48605307,48605405
13,48604037,48604138
14,48597914,48598017
15,48597607,48597715
16,48595947,48596033
17,48592676,48592847
18,48591762,48591894
19,48588638,48588745
20,48584514,48584751
21,48583437,48583622
22,48582882,48582968
23,48580990,48581258
24,48578047,48578239
25,48577134,48577258
26,48575203,48575260
27,48572844,48572935
28,48569265,48569437
29,48567548,48567708
30,48566950,48567060
31,48565965,48566119
32,48564906,48565005
33,48563485,48563653
34,48559470,48559729
35,48558995,48559135
36,48555232,48555400
37,48553511,48553595
38,48552609,48552721
39,48551490,48551640
40,48550707,48550810
41,48549601,48549786
42,48548084,48548288
43,48546800,48546921
44,48545824,48546014
45,48544044,48544138
46,48542370,48542977
47,48541988,48542085
48,48537674,48537844
49,48536562,48536702
50,48533173,48533370
51,48530192,48530353
52,48529988,48530062
53,48529494,48529670
54,48524918,48525121
55,48523065,48523232
56,48517045,48517292
57,48514498,48514705
58,48512852,48513001
59,48512076,48512174
60,48507564,48507632
61,48504845,48504862
62,48503640,48503750
63,48502047,48502237
64,48499380,48501697

>MLLT3_ENST00000380338.4,chr9:20341663-20622542
1,20622244,20622542
2,20620653,20620833
3,20456702,20456784
4,20448121,20448264
5,20413719,20414423
6,20365667,20365742
7,20363474,20363603
8,20360740,20360839
9,20354806,20354877
10,20353523,20353594
11,20341663,20346572

>EPS15_ENST00000371733.3,chr1:51819935-51985000
1,51984871,51985000
2,51946945,51946986
3,51938531,51938620
4,51937362,51937409
5,51934145,51934240
6,51930933,51930998
7,51929345,51929470
8,51926763,51926822
9,51913718,51913807
10,51912632,51912777
11,51910561,51910717
12,51906019,51906104
13,51887458,51887530
14,51875207,51875368
15,51873807,51874004
16,51871577,51871780
17,51869091,51869204
18,51868107,51868197
19,51866590,51866625
20,51864704,51864837
21,51860053,51860119
22,51831625,51831701
23,51829538,51829700
24,51826843,51827027
25,51819935,51822518

>ACTN4_ENST00000252699.2,chr19:39138289-39222223
1,39138310,39138547
2,39191240,39191354
3,39191642,39191761
4,39195574,39195660
5,39196684,39196771
6,39198757,39198835
7,39200035,39200116
8,39200897,39200982
9,39205109,39205201
10,39207726,39207956
11,39208567,39208714
12,39212178,39212328
13,39214254,39214362
14,39214577,39214717
15,39214797,39214979
16,39215071,39215205
17,39216364,39216543
18,39217597,39217743
19,39218586,39218666
20,39219636,39219794
21,39219914,39222223

>BTBD18_ENST00000436147.3,chr11:57510986-57519253
1,57518537,57518848
2,57510986,57513620

>MLLT1_ENST00000252674.7,chr19:6212966-6279959
1,6279784,6279959
2,6270590,6270770
3,6262239,6262321
4,6230581,6230724
5,6226988,6227113
6,6222132,6222695
7,6217965,6218052
8,6216416,6216524
9,6213950,6214049
10,6213737,6213808
11,6213348,6213419
12,6212966,6213181

>CBFA2T3_ENST00000268679.4,chr16:88941266-89043612
1,89043065,89043612
2,88967912,88968064
3,88964486,88964560
4,88958652,88958893
5,88958290,88958379
6,88952369,88952550
7,88951454,88951677
8,88949084,88949169
9,88947699,88947897
10,88947128,88947196
11,88945678,88945868
12,88941266,88943683

>NUP98_ENST00000324932.7,chr11:3692313-3819022
1,3818630,3819022
2,3803272,3803375
3,3800386,3800487
4,3800103,3800279
5,3797112,3797251
6,3794862,3794969
7,3792978,3793158
8,3789811,3789974
9,3784132,3784269
10,3781769,3781856
11,3774546,3774638
12,3765739,3765879
13,3756421,3756554
14,3752621,3752808
15,3746333,3746449
16,3744387,3744685
17,3741942,3742055
18,3740642,3740780
19,3735048,3735225
20,3733794,3733958
21,3727675,3727857
22,3726430,3726586
23,3723693,3724122
24,3721840,3722069
25,3720312,3720578
26,3716679,3716836
27,3714462,3714605
28,3712577,3712719
29,3707203,3707424
30,3704430,3704671
31,3700784,3700938
32,3697739,3697850
33,3696240,3697606

>DHH_ENST00000266991.2,chr12:49483204-49488602
1,49487993,49488602
2,49484911,49485172
3,49483204,49484267

>PML_ENST00000268058.3,chr15:74287014-74340153
1,74287058,74287282
2,74290345,74290817
3,74315169,74315749
4,74317198,74317268
5,74324913,74325056
6,74325497,74325755
7,74326819,74326871
8,74335330,74335480
9,74336562,74339112

>TBL1XR1_ENST00000430069.1,chr3:176737143-176915261
1,176914128,176914266
2,176816254,176816329
3,176782708,176782810
4,176771561,176771706
5,176769292,176769514
6,176768266,176768398
7,176767785,176767926
8,176765274,176765337
9,176765088,176765185
10,176763917,176763977
11,176756101,176756222
12,176755886,176755960
13,176751986,176752113
14,176750759,176750924
15,176744161,176744262
16,176737143,176743312

>MN1_ENST00000302326.4,chr22:28144265-28197486
1,28192751,28197486
2,28144265,28147084

>RGS22_ENST00000360863.6,chr8:100973164-101143496
1,101118125,101118344
2,101117602,101117630
3,101105675,101105737
4,101092362,101092583
5,101084373,101084458
6,101083597,101083765
7,101078395,101078524
8,101075644,101076271
9,101074819,101074980
10,101065030,101065204
11,101059691,101059824
12,101054030,101054144
13,101052190,101052315
14,101051159,101051260
15,101020603,101020797
16,101018245,101018337
17,101016154,101016326
18,101014430,101014592
19,101011490,101011648
20,101008690,101008758
21,100999686,100999847
22,100994165,100994344
23,100990145,100990303
24,100977563,100977658
25,100975113,100975206
26,100974915,100974995
27,100974622,100974671
28,100973164,100973424

>PLXND1_ENST00000324093.4,chr3:129274018-129325661
1,129324172,129325661
2,129308194,129308370
3,129305431,129305562
4,129305015,129305115
5,129304795,129304924
6,129303228,129303405
7,129302968,129303076
8,129302410,129302512
9,129297172,129297276
10,129294609,129294698
11,129294312,129294405
12,129293179,129293333
13,129292437,129292588
14,129291685,129291784
15,129291452,129291591
16,129290520,129290687
17,129290352,129290442
18,129289883,129290146
19,129289629,129289778
20,129288686,129288800
21,129286541,129286648
22,129286335,129286447
23,129285370,129285474
24,129284730,129284860
25,129284183,129284381
26,129281937,129282083
27,129281630,129281786
28,129280643,129280746
29,129280489,129280552
30,129279532,129279566
31,129279173,129279277
32,129278463,129278626
33,129277271,129277418
34,129275926,129276066
35,129275460,129275534
36,129274018,129275271

>AGPAT5_ENST00000285518.6,chr8:6565878-6617184
1,6565878,6566408
2,6582391,6582460
3,6588232,6588347
4,6590082,6590171
5,6599182,6599272
6,6605191,6605349
7,6612572,6612695
8,6614684,6617184

>CTAGE5_ENST00000341749.3,chr14:39734488-39856156
1,39734496,39734625
2,39746138,39746269
3,39748541,39748562
4,39748653,39748741
5,39760223,39760300
6,39762475,39762585
7,39763204,39763275
8,39764129,39764233
9,39769068,39769190
10,39771333,39771453
11,39772682,39772728
12,39773495,39773585
13,39777653,39777791
14,39782544,39782645
15,39783943,39784003
16,39784887,39784922
17,39787148,39787215
18,39788413,39788495
19,39790132,39790260
20,39796068,39796226
21,39815108,39815230
22,39816917,39816975
23,39817947,39818181
24,39819302,39819898

>SUSD1_ENST00000475283.2,chr9:114803065-114937688
1,114820708,114820751
2,114814435,114814629
3,114804147,114804240
4,114803363,114803772

>ERO1L_ENST00000395686.3,chr14:53106634-53162618
1,53162086,53162423
2,53150506,53150625
3,53149043,53149126
4,53145152,53145190
5,53138513,53138589
6,53138348,53138421
7,53133093,53133213
8,53130519,53130565
9,53128011,53128022
10,53124842,53124868
11,53124635,53124727
12,53119787,53120033
13,53118957,53119026
14,53113093,53113179
15,53112872,53113005
16,53106634,53110348

>EIF3K_ENST00000248342.4,chr19:39109735-39127595
1,39109737,39109967
2,39110977,39111075
3,39114717,39114837
4,39116668,39116742
5,39123070,39123136
6,39123241,39123318
7,39125633,39125758
8,39127529,39127595

>PLA2R1_ENST00000283243.7,chr2:160788519-160919121
1,160918806,160919121
2,160901285,160901668
3,160898536,160898709
4,160889470,160889643
5,160885361,160885474
6,160884729,160884872
7,160879176,160879370
8,160876617,160876774
9,160873125,160873223
10,160869774,160869886
11,160862163,160862332
12,160843667,160843869
13,160840439,160840584
14,160836341,160836425
15,160833795,160833927
16,160833196,160833231
17,160832579,160832736
18,160826659,160826723
19,160825767,160825870
20,160824050,160824189
21,160813021,160813138
22,160812209,160812339
23,160811710,160811857
24,160807851,160808089
25,160806119,160806287
26,160803930,160804070
27,160803312,160803428
28,160801417,160801593
29,160798638,160798670
30,160794362,160798503

>NFIA_ENST00000403491.3,chr1:61330931-61928465
1,61547980,61548490
2,61553821,61554352
3,61743192,61743257
4,61798184,61798258
5,61818122,61818239
6,61824819,61824946
7,61848909,61849037
8,61869776,61869954
9,61872234,61872399
10,61892137,61892228
11,61920975,61928465

>ATG4C_ENST00000317868.4,chr1:63249806-63331184
1,63249806,63249944
2,63269390,63269533
3,63270843,63270926
4,63282246,63282479
5,63284676,63285006
6,63286810,63286880
7,63294711,63294847
8,63299709,63299787
9,63300447,63300523
10,63307099,63307218
11,63329663,63331184

>ARFIP1_ENST00000451320.2,chr4:153701089-153839615
1,153701089,153701243
2,153750777,153750878
3,153784758,153784866
4,153791905,153792000
5,153793604,153793716
6,153802115,153802336
