HGNC ID	Approved Symbol	Approved Name	UniProt ID(supplied by UniProt)
HGNC:29581	C17orf50	chromosome 17 open reading frame 50	Q8WW18
HGNC:27904	C17orf51	chromosome 17 open reading frame 51	A8MQB3
HGNC:28460	C17orf53	chromosome 17 open reading frame 53	Q8N3J3
HGNC:27568	C17orf58	chromosome 17 open reading frame 58	Q2M2W7
HGNC:28672	C17orf62	chromosome 17 open reading frame 62	Q9BQA9
HGNC:26990	C17orf64	chromosome 17 open reading frame 64	Q86WR6
HGNC:27900	C17orf67	chromosome 17 open reading frame 67	Q0P5P2
HGNC:27315	C17orf74	chromosome 17 open reading frame 74	Q0P670
HGNC:30173	C17orf75	chromosome 17 open reading frame 75	Q9HAS0
HGNC:26480	C17orf77	chromosome 17 open reading frame 77	Q96MU5
HGNC:26831	C17orf78	chromosome 17 open reading frame 78	Q8N4C9
HGNC:29601	C17orf80	chromosome 17 open reading frame 80	Q9BSJ5
HGNC:32699	C17orf82	chromosome 17 open reading frame 82	Q86X59
HGNC:33551	C17orf89	chromosome 17 open reading frame 89	A1L188
HGNC:34493	C17orf96	chromosome 17 open reading frame 96	A6NHQ4
HGNC:33800	C17orf97	chromosome 17 open reading frame 97	Q6ZQX7
HGNC:34492	C17orf98	chromosome 17 open reading frame 98	A8MV24
HGNC:34490	C17orf99	chromosome 17 open reading frame 99	Q6UX52
HGNC:34494	C17orf100	chromosome 17 open reading frame 100	A8MU93
HGNC:34412	C17orf102	chromosome 17 open reading frame 102	A2RUQ5
HGNC:37241	C17orf105	chromosome 17 open reading frame 105	B2RV13
HGNC:37238	C17orf107	chromosome 17 open reading frame 107	Q6ZR85
HGNC:42963	C17orf112	chromosome 17 open reading frame 112	F2Z3M2
HGNC:24326	C18orf8	chromosome 18 open reading frame 8	Q96DM3
HGNC:24918	C18orf12	chromosome 18 open reading frame 12	Q96KH6
HGNC:26447	C18orf15	chromosome 18 open reading frame 15	Q96N68
HGNC:28802	C18orf21	chromosome 18 open reading frame 21	Q32NC0
HGNC:28172	C18orf25	chromosome 18 open reading frame 25	Q96B23
HGNC:31690	C18orf32	chromosome 18 open reading frame 32	Q8TCD1
HGNC:13796	C18orf54	chromosome 18 open reading frame 54	Q8IYD9
HGNC:40037	C18orf63	chromosome 18 open reading frame 63	Q68DL7
HGNC:51248	C18orf65	chromosome 18 open reading frame 65	Q6ZTR6
HGNC:25443	C19orf12	chromosome 19 open reading frame 12	Q9NSK7
HGNC:28642	C19orf18	chromosome 19 open reading frame 18	Q8NEA5
HGNC:26073	C19orf24	chromosome 19 open reading frame 24	Q9BVV8
HGNC:26711	C19orf25	chromosome 19 open reading frame 25	Q9UFG5
HGNC:16668	C19orf33	chromosome 19 open reading frame 33	Q9GZP8
HGNC:24793	C19orf35	chromosome 19 open reading frame 35	Q6ZS72
HGNC:34073	C19orf38	chromosome 19 open reading frame 38	A8MVS5
HGNC:28424	C19orf43	chromosome 19 open reading frame 43	Q9BQ61
HGNC:26141	C19orf44	chromosome 19 open reading frame 44	Q9H6X5
HGNC:24745	C19orf45	chromosome 19 open reading frame 45	Q8NA69
HGNC:26723	C19orf47	chromosome 19 open reading frame 47	Q8N9M1
HGNC:29667	C19orf48	chromosome 19 open reading frame 48	Q6RUI8
HGNC:25152	C19orf52	chromosome 19 open reading frame 52	Q9BSF4
HGNC:24991	C19orf53	chromosome 19 open reading frame 53	Q9UNZ5
HGNC:24758	C19orf54	chromosome 19 open reading frame 54	Q5BKX5
HGNC:28153	C19orf57	chromosome 19 open reading frame 57	Q0VDD7
HGNC:26098	C19orf60	chromosome 19 open reading frame 60	Q96EN9
HGNC:25649	C19orf66	chromosome 19 open reading frame 66	Q9NUL5
HGNC:34354	C19orf67	chromosome 19 open reading frame 67	A6NJJ6
HGNC:34495	C19orf68	chromosome 19 open reading frame 68	Q86XI8
HGNC:33702	C19orf70	chromosome 19 open reading frame 70	Q5XKP0
HGNC:34496	C19orf71	chromosome 19 open reading frame 71	A6NCJ1
HGNC:25534	C19orf73	chromosome 19 open reading frame 73	Q9NVV2
HGNC:40041	C19orf81	chromosome 19 open reading frame 81	C9J6K1
HGNC:27112	C19orf84	chromosome 19 open reading frame 84	I3L1E1
HGNC:15870	C20orf24	chromosome 20 open reading frame 24	Q9BUV8
HGNC:15873	C20orf27	chromosome 20 open reading frame 27	Q9GZN8
HGNC:16210	C20orf78	chromosome 20 open reading frame 78	Q9BR46
HGNC:16216	C20orf85	chromosome 20 open reading frame 85	Q9H1P6
HGNC:16227	C20orf96	chromosome 20 open reading frame 96	Q9NUD7
HGNC:16134	C20orf141	chromosome 20 open reading frame 141	Q9NUB4
HGNC:16137	C20orf144	chromosome 20 open reading frame 144	Q9BQM9
HGNC:26393	C20orf166-AS1	C20orf166 antisense RNA 1	Q96NR2
HGNC:16166	C20orf173	chromosome 20 open reading frame 173	Q96LM9
HGNC:16174	C20orf181	chromosome 20 open reading frame 181	
HGNC:16180	C20orf187	chromosome 20 open reading frame 187	Q9UGB4
HGNC:17721	C20orf194	chromosome 20 open reading frame 194	Q5TEA3
HGNC:28764	C20orf195	chromosome 20 open reading frame 195	Q9BVV2
HGNC:26318	C20orf196	chromosome 20 open reading frame 196	Q8IYI0
HGNC:26601	C20orf197	chromosome 20 open reading frame 197	Q8N268
HGNC:37254	C20orf202	chromosome 20 open reading frame 202	A1L168
HGNC:26592	C20orf203	chromosome 20 open reading frame 203	Q8NBC4
HGNC:1260	C21orf2	chromosome 21 open reading frame 2	O43822
HGNC:1273	C21orf33	chromosome 21 open reading frame 33	P30042
HGNC:1300	C21orf58	chromosome 21 open reading frame 58	P58505
HGNC:1301	C21orf59	chromosome 21 open reading frame 59	P57076
HGNC:1305	C21orf62	chromosome 21 open reading frame 62	Q9NYP8
HGNC:1290	C21orf62-AS1	C21orf62 antisense RNA 1	Q17RA5
HGNC:16459	C21orf91	chromosome 21 open reading frame 91	Q9NYK6
HGNC:16729	C21orf91-OT1	C21orf91 overlapping transcript 1	
HGNC:39602	C21orf140	chromosome 21 open reading frame 140	B9A014
HGNC:15558	C22orf15	chromosome 22 open reading frame 15	Q8WYQ4
HGNC:18589	C22orf23	chromosome 22 open reading frame 23	Q9BZE7
HGNC:23051	C22orf24	chromosome 22 open reading frame 24	Q9Y442
HGNC:26112	C22orf29	chromosome 22 open reading frame 29	Q7L3V2
HGNC:26931	C22orf31	chromosome 22 open reading frame 31	O95567
HGNC:28010	C22orf34	chromosome 22 open reading frame 34	Q6ZV56
HGNC:27012	C22orf39	chromosome 22 open reading frame 39	Q6P5X5
HGNC:27160	C22orf42	chromosome 22 open reading frame 42	Q6IC83
HGNC:26294	C22orf46	chromosome 22 open reading frame 46	C9J442
HGNC:1368	CA1	carbonic anhydrase 1	P00915
HGNC:1373	CA2	carbonic anhydrase 2	P00918
HGNC:1374	CA3	carbonic anhydrase 3	P07451
HGNC:51657	CA3-AS1	CA3 antisense RNA 1	
HGNC:1375	CA4	carbonic anhydrase 4	P22748
HGNC:1377	CA5A	carbonic anhydrase 5A	P35218
HGNC:1379	CA5AP1	carbonic anhydrase 5A pseudogene 1	
HGNC:1378	CA5B	carbonic anhydrase 5B	Q9Y2D0
HGNC:29544	CA5BP1	carbonic anhydrase 5B pseudogene 1	Q8WTZ4
HGNC:1380	CA6	carbonic anhydrase 6	P23280
HGNC:1381	CA7	carbonic anhydrase 7	P43166
HGNC:1382	CA8	carbonic anhydrase 8	P35219
HGNC:1383	CA9	carbonic anhydrase 9	Q16790
HGNC:1369	CA10	carbonic anhydrase 10	Q9NS85
HGNC:1370	CA11	carbonic anhydrase 11	O75493
HGNC:1371	CA12	carbonic anhydrase 12	O43570
HGNC:14914	CA13	carbonic anhydrase 13	Q8N1Q1
HGNC:1372	CA14	carbonic anhydrase 14	Q9ULX7
HGNC:44364	CA15P1	carbonic anhydrase 15 pseudogene 1	
HGNC:14916	CA15P2	carbonic anhydrase 15 pseudogene 2	
HGNC:44363	CA15P3	carbonic anhydrase 15 pseudogene 3	
HGNC:25834	CAAP1	caspase activity and apoptosis inhibitor 1	Q9H8G2
HGNC:20292	CAB39	calcium binding protein 39	Q9Y376
HGNC:20290	CAB39L	calcium binding protein 39 like	Q9H9S4
HGNC:51641	CAB39P1	calcium binding protein 39 pseudogene 1	
HGNC:24187	CABIN1	calcineurin binding protein 1	Q9Y6J0
HGNC:25097	CABLES1	Cdk5 and Abl enzyme substrate 1	Q8TDN4
HGNC:16143	CABLES2	Cdk5 and Abl enzyme substrate 2	Q9BTV7
HGNC:1384	CABP1	calcium binding protein 1	Q9NZU7
HGNC:1385	CABP2	calcium binding protein 2	Q9NPB3
HGNC:1386	CABP4	calcium binding protein 4	P57796
HGNC:13714	CABP5	calcium binding protein 5	Q9NP86
HGNC:20834	CABP7	calcium binding protein 7	Q86V35
HGNC:30710	CABS1	calcium binding protein, spermatid associated 1	Q96KC9
HGNC:15569	CABYR	calcium binding tyrosine phosphorylation regulated	O75952
HGNC:31902	CABYRP1	calcium binding tyrosine phosphorylation regulated pseudogene 1	
HGNC:1387	CACD	central areolar choroidal dystrophy	
HGNC:1365	CACFD1	calcium channel flower domain containing 1	Q9UGQ2
HGNC:29314	CACHD1	cache domain containing 1	Q5VU97
HGNC:1388	CACNA1A	calcium voltage-gated channel subunit alpha1 A	O00555
HGNC:1389	CACNA1B	calcium voltage-gated channel subunit alpha1 B	Q00975
HGNC:1390	CACNA1C	calcium voltage-gated channel subunit alpha1 C	Q13936
HGNC:40119	CACNA1C-AS1	CACNA1C antisense RNA 1	
HGNC:40118	CACNA1C-AS2	CACNA1C antisense RNA 2	
HGNC:40117	CACNA1C-AS3	CACNA1C antisense RNA 3	
HGNC:40116	CACNA1C-AS4	CACNA1C antisense RNA 4	
HGNC:41312	CACNA1C-IT1	CACNA1C intronic transcript 1	
HGNC:41313	CACNA1C-IT2	CACNA1C intronic transcript 2	
HGNC:41314	CACNA1C-IT3	CACNA1C intronic transcript 3	
HGNC:1391	CACNA1D	calcium voltage-gated channel subunit alpha1 D	Q01668
HGNC:1392	CACNA1E	calcium voltage-gated channel subunit alpha1 E	Q15878
HGNC:1393	CACNA1F	calcium voltage-gated channel subunit alpha1 F	O60840
HGNC:1394	CACNA1G	calcium voltage-gated channel subunit alpha1 G	O43497
HGNC:27377	CACNA1G-AS1	CACNA1G antisense RNA 1	
HGNC:1395	CACNA1H	calcium voltage-gated channel subunit alpha1 H	O95180
HGNC:1396	CACNA1I	calcium voltage-gated channel subunit alpha1 I	Q9P0X4
HGNC:1397	CACNA1S	calcium voltage-gated channel subunit alpha1 S	Q13698
HGNC:1399	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	P54289
HGNC:1400	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	Q9NY47
HGNC:15460	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Q8IZS8
HGNC:40702	CACNA2D3-AS1	CACNA2D3 antisense RNA 1	
HGNC:20202	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	Q7Z3S7
HGNC:1401	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1	Q02641
HGNC:1402	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	Q08289
HGNC:1403	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3	P54284
HGNC:1404	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4	O00305
HGNC:1405	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1	Q06432
HGNC:1406	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2	Q9Y698
HGNC:1407	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3	O60359
HGNC:1408	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	Q9UBN1
HGNC:1409	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5	Q9UF02
HGNC:13625	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6	Q9BXT2
HGNC:13626	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	P62955
HGNC:13628	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	Q8WXS5
HGNC:29938	CACTIN	cactin, spliceosome C complex subunit	Q8WUQ7
HGNC:31391	CACTIN-AS1	CACTIN antisense RNA 1	Q8N1I8
HGNC:23727	CACUL1	CDK2 associated cullin domain 1	Q86Y37
HGNC:30423	CACYBP	calcyclin binding protein	Q9HB71
HGNC:45122	CACYBPP1	calcyclin binding protein pseudogene 1	
HGNC:45123	CACYBPP2	calcyclin binding protein pseudogene 2	
HGNC:45124	CACYBPP3	calcyclin binding protein pseudogene 3	
HGNC:1424	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	P27708
HGNC:5951	CADM1	cell adhesion molecule 1	Q9BY67
HGNC:29849	CADM2	cell adhesion molecule 2	Q8N3J6
HGNC:41248	CADM2-AS1	CADM2 antisense RNA 1	
HGNC:41247	CADM2-AS2	CADM2 antisense RNA 2	
HGNC:17601	CADM3	cell adhesion molecule 3	Q8N126
HGNC:40812	CADM3-AS1	CADM3 antisense RNA 1	
HGNC:30825	CADM4	cell adhesion molecule 4	Q8NFZ8
HGNC:1426	CADPS	Ca2+ dependent secretion activator	Q9ULU8
HGNC:16018	CADPS2	Ca2+ dependent secretion activator 2	Q86UW7
HGNC:21622	CAGE1	cancer antigen 1	Q8TC20
HGNC:42860	CAHM	colon adenocarcinoma hypermethylated (non-protein coding)	
HGNC:1434	CALB1	calbindin 1	P05937
HGNC:1435	CALB2	calbindin 2	P22676
HGNC:1437	CALCA	calcitonin related polypeptide alpha	P01258
HGNC:1438	CALCB	calcitonin related polypeptide beta	P10092
HGNC:29306	CALCOCO1	calcium binding and coiled-coil domain 1	Q9P1Z2
HGNC:29912	CALCOCO2	calcium binding and coiled-coil domain 2	Q13137
HGNC:1439	CALCP	calcitonin pseudogene	
HGNC:1440	CALCR	calcitonin receptor	P30988
HGNC:16709	CALCRL	calcitonin receptor like receptor	Q16602
HGNC:1441	CALD1	caldesmon 1	Q05682
HGNC:23494	CALHM1	calcium homeostasis modulator 1	Q8IU99
HGNC:23493	CALHM2	calcium homeostasis modulator 2	Q9HA72
HGNC:23458	CALHM3	calcium homeostasis modulator 3	Q86XJ0
HGNC:1442	CALM1	calmodulin 1 (phosphorylase kinase, delta)	P62158
HGNC:1443	CALM1P1	calmodulin 1 (phosphorylase kinase, delta) pseudogene 1	
HGNC:1444	CALM1P2	calmodulin 1 (phosphorylase kinase, delta) pseudogene 2	
HGNC:1445	CALM2	calmodulin 2 (phosphorylase kinase, delta)	P62158
HGNC:1446	CALM2P1	calmodulin 2 pseudogene 1	
HGNC:1447	CALM2P2	calmodulin 2 pseudogene 2	
HGNC:1448	CALM2P3	calmodulin 2 pseudogene 3	
HGNC:39661	CALM2P4	calmodulin 2 pseudogene 4	
HGNC:1449	CALM3	calmodulin 3 (phosphorylase kinase, delta)	P62158
HGNC:1452	CALML3	calmodulin like 3	P27482
HGNC:44682	CALML3-AS1	CALML3 antisense RNA 1	
HGNC:18445	CALML4	calmodulin like 4	Q96GE6
HGNC:18180	CALML5	calmodulin like 5	Q9NZT1
HGNC:24193	CALML6	calmodulin like 6	Q8TD86
HGNC:13248	CALN1	calneuron 1	Q9BXU9
HGNC:1455	CALR	calreticulin	P27797
HGNC:20407	CALR3	calreticulin 3	Q96L12
HGNC:35456	CALR4P	calreticulin 4, pseudogene	
HGNC:1458	CALU	calumenin	O43852
HGNC:17938	CALY	calcyon neuron specific vesicular protein	Q9NYX4
HGNC:1459	CAMK1	calcium/calmodulin dependent protein kinase I	Q14012
HGNC:19341	CAMK1D	calcium/calmodulin dependent protein kinase ID	Q8IU85
HGNC:14585	CAMK1G	calcium/calmodulin dependent protein kinase IG	Q96NX5
HGNC:1460	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	Q9UQM7
HGNC:1461	CAMK2B	calcium/calmodulin dependent protein kinase II beta	Q13554
HGNC:1462	CAMK2D	calcium/calmodulin dependent protein kinase II delta	Q13557
HGNC:1463	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	Q13555
HGNC:24190	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	Q7Z7J9
HGNC:24197	CAMK2N2	calcium/calmodulin dependent protein kinase II inhibitor 2	Q96S95
HGNC:1464	CAMK4	calcium/calmodulin-dependent protein kinase IV	Q16566
HGNC:1469	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1	Q8N5S9
HGNC:1470	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2	Q96RR4
HGNC:26276	CAMKMT	calmodulin-lysine N-methyltransferase	Q7Z624
HGNC:28788	CAMKV	CaM kinase like vesicle associated	Q8NCB2
HGNC:1471	CAMLG	calcium modulating ligand	P49069
HGNC:1472	CAMP	cathelicidin antimicrobial peptide	P49913
HGNC:19946	CAMSAP1	calmodulin regulated spectrin associated protein 1	Q5T5Y3
HGNC:29188	CAMSAP2	calmodulin regulated spectrin associated protein family member 2	Q08AD1
HGNC:29307	CAMSAP3	calmodulin regulated spectrin associated protein family member 3	Q9P1Y5
HGNC:18806	CAMTA1	calmodulin binding transcription activator 1	Q9Y6Y1
HGNC:41446	CAMTA1-IT1	CAMTA1 intronic transcript 1	
HGNC:18807	CAMTA2	calmodulin binding transcription activator 2	O94983
HGNC:30688	CAND1	cullin associated and neddylation dissociated 1	Q86VP6
HGNC:30689	CAND2	cullin associated and neddylation dissociated 2 (putative)	O75155
HGNC:20683	CANDN1	candidiasis, nail 1 (with ICAM1 deficiency)	
HGNC:19721	CANT1	calcium activated nucleotidase 1	Q8WVQ1
HGNC:1473	CANX	calnexin	P27824
HGNC:20040	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	Q01518
HGNC:31134	CAP1P1	CAP1 pseudogene 1	
HGNC:31970	CAP1P2	CAP1 pseudogene 2	
HGNC:20039	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	P40123
HGNC:20142	CAP2P1	CAP, adenylate cyclase-associated protein, 2 (yeast) pseudogene 1	
HGNC:1474	CAPG	capping actin protein, gelsolin like	P40121
HGNC:1476	CAPN1	calpain 1	P07384
HGNC:1479	CAPN2	calpain 2	P17655
HGNC:1480	CAPN3	calpain 3	P20807
HGNC:1482	CAPN5	calpain 5	O15484
HGNC:1483	CAPN6	calpain 6	Q9Y6Q1
HGNC:1484	CAPN7	calpain 7	Q9Y6W3
HGNC:1485	CAPN8	calpain 8	A6NHC0
HGNC:1486	CAPN9	calpain 9	O14815
HGNC:1477	CAPN10	calpain 10	Q9HC96
HGNC:48839	CAPN10-AS1	CAPN10 antisense RNA 1 (head to head)	
HGNC:1478	CAPN11	calpain 11	Q9UMQ6
HGNC:13249	CAPN12	calpain 12	Q6ZSI9
HGNC:16663	CAPN13	calpain 13	Q6MZZ7
HGNC:16664	CAPN14	calpain 14	A8MX76
HGNC:11182	CAPN15	calpain 15	O75808
HGNC:1481	CAPNS1	calpain small subunit 1	P04632
HGNC:39562	CAPNS1P1	calpain small subunit 1 pseudogene 1	
HGNC:16371	CAPNS2	calpain small subunit 2	Q96L46
HGNC:6743	CAPRIN1	cell cycle associated protein 1	Q14444
HGNC:21259	CAPRIN2	caprin family member 2	Q6IMN6
HGNC:1487	CAPS	calcyphosine	Q13938
HGNC:16471	CAPS2	calcyphosine 2	Q9BXY5
HGNC:28375	CAPSL	calcyphosine like	Q8WWF8
HGNC:1488	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1	P52907
HGNC:1489	CAPZA1P	capping actin protein of muscle Z-line alpha subunit 1 pseudogene	
HGNC:1490	CAPZA2	capping actin protein of muscle Z-line alpha subunit 2	P47755
HGNC:24205	CAPZA3	capping actin protein of muscle Z-line alpha subunit 3	Q96KX2
HGNC:1491	CAPZB	capping actin protein of muscle Z-line beta subunit	P47756
HGNC:16394	CARD6	caspase recruitment domain family member 6	Q9BX69
HGNC:17057	CARD8	caspase recruitment domain family member 8	Q9Y2G2
HGNC:51408	CARD8-AS1	CARD8 antisense RNA 1	
HGNC:16391	CARD9	caspase recruitment domain family member 9	Q9H257
HGNC:16422	CARD10	caspase recruitment domain family member 10	Q9BWT7
HGNC:16393	CARD11	caspase recruitment domain family member 11	Q9BXL7
HGNC:16446	CARD14	caspase recruitment domain family member 14	Q9BXL6
HGNC:33701	CARD16	caspase recruitment domain family member 16	Q5EG05
HGNC:33827	CARD17	caspase recruitment domain family member 17	Q5XLA6
HGNC:28861	CARD18	caspase recruitment domain family member 18	P57730
HGNC:28148	CARD19	caspase recruitment domain family member 19	Q96LW7
HGNC:14435	CARF	calcium responsive transcription factor	Q8N187
HGNC:17150	CARHSP1	calcium regulated heat stable protein 1	Q9Y2V2
HGNC:23393	CARM1	coactivator associated arginine methyltransferase 1	Q86X55
HGNC:23392	CARM1P1	coactivator associated arginine methyltransferase 1 pseudogene 1	
HGNC:27089	CARMIL2	capping protein regulator and myosin 1 linker 2	Q6F5E8
HGNC:20272	CARMIL3	capping protein regulator and myosin 1 linker 3	Q8ND23
HGNC:42872	CARMN	cardiac mesoderm enhancer-associated non-coding RNA	
HGNC:23435	CARNMT1	carnosine N-methyltransferase 1	Q8N4J0
HGNC:29268	CARNS1	carnosine synthase 1	A5YM72
HGNC:1493	CARS	cysteinyl-tRNA synthetase	P49589
HGNC:40125	CARS-AS1	CARS antisense RNA 1	
HGNC:25695	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	Q9HA77
HGNC:50477	CARSP1	cysteinyl-tRNA synthetase pseudogene 1	
HGNC:50478	CARSP2	cysteinyl-tRNA synthetase pseudogene 2	
HGNC:24323	CARTPT	CART prepropeptide	Q16568
HGNC:29599	CASC1	cancer susceptibility candidate 1	Q6TDU7
HGNC:22933	CASC2	cancer susceptibility candidate 2 (non-protein coding)	Q6XLA1
HGNC:17040	CASC3	cancer susceptibility candidate 3	O15234
HGNC:24892	CASC4	cancer susceptibility candidate 4	Q6P4E1
HGNC:39251	CASC4P1	cancer susceptibility candidate 4 pseudogene 1	
HGNC:24054	CASC5	cancer susceptibility candidate 5	Q8NG31
HGNC:49076	CASC6	cancer susceptibility candidate 6 (non-protein coding)	
HGNC:48905	CASC7	cancer susceptibility candidate 7 (non-protein coding)	
HGNC:45129	CASC8	cancer susceptibility candidate 8 (non-protein coding)	
HGNC:48906	CASC9	cancer susceptibility candidate 9 (non-protein coding)	
HGNC:31448	CASC10	cancer susceptibility candidate 10	Q5T4H9
HGNC:48939	CASC11	cancer susceptibility candidate 11 (non-protein coding)	
HGNC:28245	CASC15	cancer susceptibility candidate 15 (non-protein coding)	
HGNC:48608	CASC16	cancer susceptibility candidate 16 (non-protein coding)	
HGNC:43911	CASC17	cancer susceptibility candidate 17 (non-protein coding)	
HGNC:49463	CASC18	cancer susceptibility candidate 18 (non-protein coding)	
HGNC:49476	CASC19	cancer susceptibility candidate 19 (non-protein coding)	
HGNC:49477	CASC20	cancer susceptibility candidate 20 (non-protein coding)	
HGNC:49836	CASC21	cancer susceptibility candidate 21 (non-protein coding)	
HGNC:50627	CASC22	cancer susceptibility candidate 22 (non-protein coding)	
HGNC:50865	CASC23	cancer susceptibility candidate 23 (non-protein coding)	
HGNC:16014	CASD1	CAS1 domain containing 1	Q96PB1
HGNC:1497	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	O14936
HGNC:40126	CASK-AS1	CASK antisense RNA 1	
HGNC:20879	CASKIN1	CASK interacting protein 1	Q8WXD9
HGNC:18200	CASKIN2	CASK interacting protein 2	Q8WXE0
HGNC:1498	CASKP1	calcium/calmodulin-dependent serine protein kinase (MAGUK family) pseudogene 1	
HGNC:1499	CASP1	caspase 1	P29466
HGNC:43775	CASP1P1	caspase 1 pseudogene 1	
HGNC:43776	CASP1P2	caspase 1 pseudogene 2	
HGNC:43777	CASP1P3	caspase 1 pseudogene 3	
HGNC:1503	CASP2	caspase 2	P42575
HGNC:1504	CASP3	caspase 3	P42574
HGNC:43596	CASP3P1	caspase 3 pseudogene 1	
HGNC:1505	CASP4	caspase 4	P49662
HGNC:1506	CASP5	caspase 5	P51878
HGNC:1507	CASP6	caspase 6	P55212
HGNC:1508	CASP7	caspase 7	P55210
HGNC:1509	CASP8	caspase 8	Q14790
HGNC:1510	CASP8AP2	caspase 8 associated protein 2	Q9UKL3
HGNC:1511	CASP9	caspase 9	P55211
HGNC:1500	CASP10	caspase 10	Q92851
HGNC:19004	CASP12	caspase 12 (gene/pseudogene)	Q6UXS9
HGNC:1502	CASP14	caspase 14	P31944
HGNC:27290	CASP16P	caspase 16, pseudogene	
HGNC:1512	CASQ1	calsequestrin 1	P31415
HGNC:1513	CASQ2	calsequestrin 2	O14958
HGNC:1514	CASR	calcium sensing receptor	P41180
HGNC:15878	CASS4	Cas scaffolding protein family member 4	Q9NQ75
HGNC:1515	CAST	calpastatin	P20810
HGNC:26002	CASZ1	castor zinc finger 1	Q86V15
HGNC:1516	CAT	catalase	P04040
HGNC:25062	CATIP	ciliogenesis associated TTC17 interacting protein	Q7Z7H3
HGNC:41080	CATIP-AS1	CATIP antisense RNA 1	
HGNC:41079	CATIP-AS2	CATIP antisense RNA 2	
HGNC:1525	CATR1	CATR tumorigenicity conversion 1	Q13166
HGNC:17116	CATSPER1	cation channel sperm associated 1	Q8NEC5
HGNC:18810	CATSPER2	cation channel sperm associated 2	Q96P56
HGNC:31054	CATSPER2P1	cation channel sperm associated 2 pseudogene 1	
HGNC:20819	CATSPER3	cation channel sperm associated 3	Q86XQ3
HGNC:23220	CATSPER4	cation channel sperm associated 4	Q7RTX7
HGNC:20500	CATSPERB	cation channel sperm associated auxiliary subunit beta	Q9H7T0
HGNC:28598	CATSPERD	cation channel sperm associated auxiliary subunit delta	Q86XM0
HGNC:25243	CATSPERG	cation channel sperm associated auxiliary subunit gamma	Q6ZRH7
HGNC:1527	CAV1	caveolin 1	Q03135
HGNC:1528	CAV2	caveolin 2	P51636
HGNC:1529	CAV3	caveolin 3	P56539
HGNC:28617	CBARP	CACN beta subunit associated regulatory protein	Q8N350
HGNC:1536	CBFA2T2	CBFA2/RUNX1 translocation partner 2	O43439
HGNC:1537	CBFA2T3	CBFA2/RUNX1 translocation partner 3	O75081
HGNC:1539	CBFB	core-binding factor, beta subunit	Q13951
HGNC:1541	CBL	Cbl proto-oncogene	P22681
HGNC:1542	CBLB	Cbl proto-oncogene B	Q13191
HGNC:15961	CBLC	Cbl proto-oncogene C	Q9ULV8
HGNC:21225	CBLL1	Cbl proto-oncogene like 1	Q75N03
HGNC:1543	CBLN1	cerebellin 1 precursor	P23435
HGNC:1544	CBLN2	cerebellin 2 precursor	Q8IUK8
HGNC:20146	CBLN3	cerebellin 3 precursor	Q6UW01
HGNC:16231	CBLN4	cerebellin 4 precursor	Q9NTU7
HGNC:1548	CBR1	carbonyl reductase 1	P16152
HGNC:1549	CBR3	carbonyl reductase 3	O75828
HGNC:43664	CBR3-AS1	CBR3 antisense RNA 1	
HGNC:25891	CBR4	carbonyl reductase 4	Q8N4T8
HGNC:1550	CBS	cystathionine-beta-synthase	P35520
HGNC:51829	CBSL	cystathionine-beta-synthase like	P0DN79
HGNC:17134	CBWD1	COBW domain containing 1	Q9BRT8
HGNC:17907	CBWD2	COBW domain containing 2	Q8IUF1
HGNC:18519	CBWD3	COBW domain containing 3	Q5JTY5
HGNC:18520	CBWD4P	COBW domain containing 4 pseudogene	
HGNC:24584	CBWD5	COBW domain containing 5	Q5RIA9
HGNC:31978	CBWD6	COBW domain containing 6	Q4V339
HGNC:31977	CBWD7	COBW domain containing 7	A6NM15
HGNC:1551	CBX1	chromobox 1	P83916
HGNC:38655	CBX1P1	chromobox 1 pseudogene 1	
